origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
8,22,0,0,2.1691059,121968.181
8,23,0,0,2.1691059,121968.181
8,24,0,0,2.1691059,121968.181
8,25,0,0,2.1691059,121968.181
9,1,0,0,2.1691059,121968.181
9,2,0,0,2.1691059,121968.181
9,3,0,0,2.1691059,121968.181
9,4,0,0,2.1691059,121968.181
9,5,0,0,2.1691059,121968.181
9,6,0,0,2.1691059,121968.181
9,7,0,0,2.1691059,121968.181
9,8,0,0,2.1691059,121968.181
9,9,0,0,2.1691059,121968.181
9,10,0,0,2.1691059,121968.181
9,11,0,0,2.1691059,121968.181
9,12,0,121966.0119,2.1691059,121968.181
9,13,0,121966.0119,2.1691059,121968.181
9,14,0,121966.0119,2.1691059,121968.181
9,15,0,121966.0119,2.1691059,121968.181
9,16,0,121966.0119,2.1691059,121968.181
9,17,0,121966.0119,2.1691059,121968.181
9,18,0,121966.0119,2.1691059,121968.181
9,19,0,121966.0119,2.1691059,121968.181
9,20,0,121966.0119,2.1691059,121968.181
9,21,0,121966.0119,2.1691059,121968.181
9,22,0,121966.0119,2.1691059,121968.181
9,23,0,121966.0119,2.1691059,121968.181
9,24,0,121966.0119,2.1691059,121968.181
9,25,0,121966.0119,2.1691059,121968.181
10,1,0,0,0,23350.88421
10,2,0,0,0,23350.88421
10,3,0,0,0,23350.88421
10,4,0,0,0,23350.88421
10,5,0,0,0,23350.88421
10,6,0,0,0,23350.88421
10,7,0,0,0,23350.88421
10,8,0,23350.88421,0,23350.88421
10,9,0,23350.88421,0,23350.88421
10,10,0,0,0,23350.88421
10,11,0,23350.88421,0,23350.88421
10,12,0,23350.88421,0,23350.88421
10,13,0,23350.88421,0,23350.88421
10,14,0,23350.88421,0,23350.88421
10,15,0,23350.88421,0,23350.88421
10,16,0,122312.4598,0,122312.4598
10,17,0,122312.4598,0,122312.4598
10,18,0,122312.4598,0,122312.4598
10,19,0,122312.4598,0,122312.4598
10,20,0,0,2.1691059,417395.6039
10,21,0,0,2.1691059,417395.6039
10,22,0,122312.4598,0,122312.4598
10,23,0,122312.4598,0,122312.4598
10,24,0,0,2.1691059,417395.6039
10,25,0,0,2.1691059,417395.6039
11,1,0,0,2.1691059,417395.6039
11,2,0,0,2.1691059,417395.6039
11,3,0,0,2.1691059,417395.6039
11,4,0,0,2.1691059,417395.6039
11,5,0,0,2.1691059,417395.6039
11,6,0,0,2.1691059,417395.6039
11,7,0,0,2.1691059,417395.6039
11,8,0,417393.4348,2.1691059,417395.6039
11,9,0,417393.4348,2.1691059,417395.6039
11,10,0,0,2.1691059,417395.6039
11,11,0,0,2.1691059,417395.6039
11,12,0,417393.4348,2.1691059,417395.6039
11,13,0,417393.4348,2.1691059,417395.6039
11,14,0,417393.4348,2.1691059,417395.6039
11,15,0,417393.4348,2.1691059,417395.6039
11,16,0,417393.4348,2.1691059,417395.6039
